verse,label
"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life. – John 3:16",salvation
"The Lord is my shepherd, I shall not want. – Psalm 23:1",comfort
"Let everything that has breath praise the Lord. – Psalm 150:6",worship
"Trust in the Lord with all your heart and lean not on your own understanding. – Proverbs 3:5",faith
"But seek first the kingdom of God and his righteousness, and all these things will be added to you. – Matthew 6:33",priority
"Therefore go and make disciples of all nations. – Matthew 28:19",evangelism
"Be still and know that I am God. – Psalm 46:10",peace
"I can do all things through Christ who strengthens me. – Philippians 4:13",strength
"Rejoice in the Lord always. I will say it again: Rejoice! – Philippians 4:4",joy
"Cast all your anxiety on Him because He cares for you. – 1 Peter 5:7",anxiety
